"product_name","text","rating"
"Official Nintendo Super Mario Plush Series Stuffed Toy - 10 Cat Luigi","Four Stars ",4
"TY Chinook the Bear Canada Excl. Beanie Baby","Chinook ",5
"Fisher-Price Giggle Gang - Kiwi","the sound is not unpleasant or obnoxious like so many other baby toys which is important for ... ",5
"Purple Robe PJs Boot Slippers & 2 Bows Teddy Bear Clothes fit Build a Bear factory Teddies","Beautiful ",5
"ThinkGeek 40cm Alien Facehugger Plush Figure","great toy. ",5
"Sanei Tobidase Doubutsu No Mori Plush Toy Shizue","Brilliant ",5
"Minnie Mouse Mad About Minnie Despatch Bag","good quality great ",5
"Plants vs Zombies Sprinter Zombie Plush 11 inch","brains need brains... ",5
"Ty Beanie Boo Buddy 9 Plush Maddie the Brown Dog","Five Stars ",5
"NEW - 5 X Cuddly Brown Teddy Bear - Height 20cm / 8","Lovely ",5
"Minions - Despicable Me 2 Unicorn Agnes - Cuddly Plush Toy 60 cm","Amazing I love this so much. ",5
"TY Orient the Cat Beanie Baby","beanie baby cats ",5
"Koala Bear Soft Toy 20cm (RB440)","so happy with my purchase ",5
"Plush Soft Toy White Lamb by Hansa. 18cm. 4562","Fell in love with sheep ",5
"Be My Bear Teddy Bear Passport","Full marks for service ",5
"Marvel Captain America Distressed Shield Logo","Captain America Mug ",4
"Savannah The Lioness - TY Beanies 10 - Wild Wild Best","Five Stars ",5
"Steiff Wittie Owl (White)","steiff wittie owl ",5
"Steiff 28cm Happy Teddy Bear (Beige)","Steiff Happy Teddy Bear ",5
"TY Charmer the Unicorn Beanie Baby","It is a cute little unicorn.. the grandchildren love it. ",5
"TY Houston the Puppy Dog Beanie Baby","HOUSTON ",4
"Steiff 40cm Elmar Teddy Bear (Golden Brown)","Not quite as pretty as his picture ",4
"TY Fetch the Labrador Dog Beanie Baby","Four Stars ",4
"Zigamazoo Striped Cat Plush Toy (Pink)","Arm missing!! ",1
"Keel Toys 30cm Dalmatian","Gorgeous dog! ",5
"DESPICABLE ME 2 - Minion cuddly Soft Toy - Plush Figures Banana 28-33 cm Minion Typ:Bob","Super cute and cushiony! ",5
"Manhattan Toy Lavish Lanky Cats Shadow Plush Toy","cant find email for replacement ",3
"Charlie Bears - Thistle","I was really very happy with my gorgeous new Charlie Bear ",5
"Totoro Plush (M) (japan import)","Very pleased when he arrived and even cuter than the picture ",5
"Despicable Me Minions Unicorn Plush Backpack","Five Stars ",5
"Dewi Y Ddraig the Green Dragon - 6 TY Beanie Baby","Dewi Y Ddraig ",5
"Keel Toys 20 cm Chimp","mum bought this ",5
"Miyoni 12-inch Sloth Plush","Five Stars ",5
"Pokemon Deoxys 15cm/6 Soft Plush Doll Toy #386","Adequate Plush ",4
"Me to You 7-inch Tatty Teddy Bear Flowers and for My Beautiful Wife Plaque (Grey)","Five Stars ",5
"17 Inch Walter Plush - The Muppets Plush Toys","Five Stars ",5
"Plush Soft Toy Elephant by Ravensden from The Suma Collection. 19cm. FRS016E","Super soft ",5
"Jazwares Poptropica 7 Inch Plush Figure Cool Boy","Five Stars ",5
